# English (US) compound words
# Format: compound<TAB>parts
# ============================================================================
# PROTEINS & MEATS
# ============================================================================
beefsteak	beef steak
meatball	meat ball
meatloaf	meat loaf
mincemeat	mince meat
groundbeef	ground beef
groundturkey	ground turkey
groundpork	ground pork
groundchicken	ground chicken
groundlamb	ground lamb
fishcake	fish cake
fishstick	fish stick
crabcake	crab cake
drumstick	drum stick
chickenwing	chicken wing
chickenbreast	chicken breast
chickenthigh	chicken thigh
chickenleg	chicken leg
turkeymeat	turkey meat
lambchop	lamb chop
porkchop	pork chop
porkloin	pork loin
porkbelly	pork belly
shellfish	shell fish
swordfish	sword fish
crawfish	craw fish
catfish	cat fish
# ============================================================================
# DAIRY & EGGS
# ============================================================================
buttermilk	butter milk
buttercream	butter cream
butterscotch	butter scotch
creamcheese	cream cheese
cottagecheese	cottage cheese
goatcheese	goat cheese
bluecheese	blue cheese
cheddarcheese	cheddar cheese
swisscheese	swiss cheese
pepperjack	pepper jack
stringcheese	string cheese
eggwhite	egg white
eggyolk	egg yolk
eggnog	egg nog
milkshake	milk shake
milkpowder	milk powder
skimmilk	skim milk
wholemilk	whole milk
oatmilk	oat milk
soymilk	soy milk
almondmilk	almond milk
coconutmilk	coconut milk
ricemilk	rice milk
icecream	ice cream
whitechocolate	white chocolate
darkchocolate	dark chocolate
milkchocolate	milk chocolate
# ============================================================================
# FRUITS
# ============================================================================
grapefruit	grape fruit
watermelon	water melon
pineapple	pine apple
strawberry	straw berry
blueberry	blue berry
blackberry	black berry
raspberry	rasp berry
cranberry	cran berry
boysenberry	boysen berry
elderberry	elder berry
mulberry	mul berry
passionfruit	passion fruit
starfruit	star fruit
dragonfruit	dragon fruit
jackfruit	jack fruit
breadfruit	bread fruit
kiwifruit	kiwi fruit
honeydew	honey dew
# ============================================================================
# NUTS & SEEDS
# ============================================================================
coconut	coco nut
walnut	wal nut
hazelnut	hazel nut
chestnut	chest nut
peanut	pea nut
cashewnut	cashew nut
sunflowerseed	sunflower seed
pumpkinseed	pumpkin seed
flaxseed	flax seed
sesameseed	sesame seed
chiaseed	chia seed
hempseed	hemp seed
poppyseed	poppy seed
mustardseed	mustard seed
# ============================================================================
# VEGETABLES & HERBS
# ============================================================================
eggplant	egg plant
sweetcorn	sweet corn
sweetpotato	sweet potato
springonion	spring onion
greenonion	green onion
butternut	butter nut
butterbean	butter bean
greenbean	green bean
kidneybean	kidney bean
blackbean	black bean
chickpea	chick pea
snowpea	snow pea
beetroot	beet root
sunflower	sun flower
cauliflower	cauli flower
artichoke	arti choke
watercress	water cress
mushroom	mush room
beansprout	bean sprout
bellpepper	bell pepper
jalapenopepper	jalapeno pepper
bayleaf	bay leaf
# ============================================================================
# GRAINS, PASTA & BREAD
# ============================================================================
cornflakes	corn flakes
cornflour	corn flour
cornmeal	corn meal
cornstarch	corn starch
oatmeal	oat meal
wholegrain	whole grain
wholewheat	whole wheat
buckwheat	buck wheat
flatbread	flat bread
sourdough	sour dough
cornbread	corn bread
gingerbread	ginger bread
breadcrumbs	bread crumbs
breadstick	bread stick
breadroll	bread roll
garlicbread	garlic bread
ryebread	rye bread
whitebread	white bread
wheatbread	wheat bread
multigrain	multi grain
ricenoodle	rice noodle
eggnoodle	egg noodle
eggpasta	egg pasta
# ============================================================================
# BAKED GOODS & DESSERTS
# ============================================================================
cheesecake	cheese cake
pancake	pan cake
cupcake	cup cake
fruitcake	fruit cake
coffeecake	coffee cake
poundcake	pound cake
spongecake	sponge cake
layercake	layer cake
sheetcake	sheet cake
shortcake	short cake
hotcake	hot cake
johnnycake	johnny cake
ricecake	rice cake
doughnut	dough nut
applesauce	apple sauce
applepie	apple pie
appletart	apple tart
applecrisp	apple crisp
honeycomb	honey comb
popcorn	pop corn
marshmallow	marsh mallow
brownie	brown ie
flapjack	flap jack
corndog	corn dog
funnel cake	funnel cake
# ============================================================================
# CONDIMENTS, SAUCES & SPREADS
# ============================================================================
peanutbutter	peanut butter
almondbutter	almond butter
cashewbutter	cashew butter
sunflowerbutter	sunflower butter
applebutter	apple butter
tomatosauce	tomato sauce
tomatopaste	tomato paste
soysauce	soy sauce
fishsauce	fish sauce
hotsauce	hot sauce
barbecuesauce	barbecue sauce
horseradish	horse radish
peppercorn	pepper corn
blackpepper	black pepper
whitepepper	white pepper
seasalt	sea salt
garlicpowder	garlic powder
onionpowder	onion powder
vanillaextract	vanilla extract
oliveoil	olive oil
sesameoil	sesame oil
coconutoil	coconut oil
sunfloweroil	sunflower oil
vegetableoil	vegetable oil
canolaaoil	canola oil
balsamicvinegar	balsamic vinegar
winevinegar	wine vinegar
applecidervinegar	apple cider vinegar
ranchsauce	ranch sauce
buffalosauce	buffalo sauce
# ============================================================================
# BEVERAGES
# ============================================================================
milkshake	milk shake
greentea	green tea
blacktea	black tea
icedtea	iced tea
icedcoffee	iced coffee
coffeebean	coffee bean
lemonade	lemon ade
orangejuice	orange juice
applejuice	apple juice
grapefruitjuice	grapefruit juice
tomatojuice	tomato juice
cranberryjuice	cranberry juice
grapejuice	grape juice
coconutwater	coconut water
sparklingwater	sparkling water
springwater	spring water
rootbeer	root beer
gingerbeer	ginger beer
gingerale	ginger ale
# ============================================================================
# COOKING METHODS
# ============================================================================
stirfry	stir fry
deepfry	deep fry
airfry	air fry
panfry	pan fry
slowcook	slow cook
overcook	over cook
undercook	under cook
precook	pre cook
preheat	pre heat
reheat	re heat
defrost	de frost
parboil	par boil
hardboil	hard boil
softboil	soft boil
pressurecook	pressure cook
charbroil	char broil
chargrill	char grill
# ============================================================================
# KITCHEN EQUIPMENT
# ============================================================================
saucepan	sauce pan
stockpot	stock pot
fryingpan	frying pan
bakingsheet	baking sheet
bakingtray	baking tray
cakepan	cake pan
muffintin	muffin tin
dishwasher	dish washer
slowcooker	slow cooker
ricecooker	rice cooker
pressurecooker	pressure cooker
foodprocessor	food processor
corkscrew	cork screw
nutcracker	nut cracker
teaspoon	tea spoon
tablespoon	table spoon
breadknife	bread knife
cuttingboard	cutting board
rollingpin	rolling pin
clingwrap	cling wrap
tinfoil	tin foil
# ============================================================================
# MEALS & MEAL TYPES
# ============================================================================
breakfast	break fast
lunchtime	lunch time
dinnertime	dinner time
mealtime	meal time
leftovers	left overs
takeout	take out
mealprep	meal prep
mealplan	meal plan
lunchbox	lunch box
mealkit	meal kit
weeknight	week night
midweek	mid week
# ============================================================================
# DIETARY & LIFESTYLE
# ============================================================================
superfood	super food
lowfat	low fat
nonfat	non fat
lowcalorie	low calorie
highprotein	high protein
lowcarb	low carb
sugarfree	sugar free
glutenfree	gluten free
dairyfree	dairy free
nutfree	nut free
fatfree	fat free
lactosefree	lactose free
soyfree	soy free
plantbased	plant based
freerange	free range
grassfed	grass fed
organic	orga nic
farmfresh	farm fresh
homemade	home made
homecooked	home cooked
# ============================================================================
# FOOD STYLES
# ============================================================================
streetfood	street food
fastfood	fast food
junkfood	junk food
seafood	sea food
fingerfood	finger food
comfortfood	comfort food
soulfood	soul food
babyfood	baby food
# ============================================================================
# RECIPE & COOKING TERMS
# ============================================================================
cookbook	cook book
sidedish	side dish
maincourse	main course
tomatoketchup	tomato ketchup
bakingpowder	baking powder
bakingsoda	baking soda
selfrising	self rising
allpurpose	all purpose
breadflour	bread flour
riceflour	rice flour
coconutflour	coconut flour
almondflour	almond flour
powderedsugar	powdered sugar
brownsugar	brown sugar
maplesyrup	maple syrup
agavesyrup	agave syrup
cornsyrup	corn syrup
stockcube	stock cube
bouilloncube	bouillon cube
