# Spanish (ES) compound words
# Format: compound<TAB>parts
# ============================================================================
# CARNES & PROTEINAS (Meat & Protein)
# ============================================================================
carnemolida	carne molida
carnepicada	carne picada
albóndiga	albón diga
pechuagadepollo	pechuga de pollo
muslodepollo	muslo de pollo
aladepollo	ala de pollo
filetedeternera	filete de ternera
chuleta	chu leta
salchicha	sal chicha
palitodeepescado	palito de pescado
filetedeepescado	filete de pescado
mariscos	mar iscos
frutosdelemar	frutos del mar
# ============================================================================
# LACTEOS (Dairy)
# ============================================================================
mantequilla	mante quilla
quesocrama	queso crema
quesodecabra	queso de cabra
quesoazul	queso azul
lecheintera	leche entera
lechedesnatada	leche desnatada
lechedeavena	leche de avena
lechedesoja	leche de soja
lechedealmendras	leche de almendras
lechedecoco	leche de coco
lechedearroz	leche de arroz
batido	ba tido
helado	he lado
cheesecake	cheese cake
# ============================================================================
# FRUTAS (Fruit)
# ============================================================================
pomelo	po melo
sandía	san día
piña	pi ña
fresa	fre sa
arándano	arán dano
frambuesa	fram buesa
grosella	gro sella
maracuyá	mara cuyá
frutadeladragón	fruta del dragón
coco	co co
nuez	nu ez
avellana	ave llana
castaña	cas taña
cacahuete	caca huete
almendra	almen dra
semillagirasol	semilla girasol
semillacalabaza	semilla calabaza
# ============================================================================
# VERDURAS (Vegetables)
# ============================================================================
coliflor	coli flor
colderBruselas	col de Bruselas
colroja	col roja
repollo	repo llo
patata	pa tata
batatadulce	batata dulce
pimientorojo	pimiento rojo
pimientoverde	pimiento verde
cebolleta	cebol leta
cebollita	cebol lita
judíaverde	judía verde
frijolnegro	frijol negro
garbanzo	gar banzo
tomate	to mate
tomatecherry	tomate cherry
champiñón	champi ñón
# ============================================================================
# PAN & REPOSTERIA (Bread & Baking)
# ============================================================================
panintegral	pan integral
pandecenteno	pan de centeno
panblanco	pan blanco
panrallado	pan rallado
tortita	tor tita
tarta de queso	tarta de queso
bizcocho	biz cocho
magdalena	magda lena
pastelchocolate	pastel chocolate
# ============================================================================
# CONDIMENTOS & SALSAS (Condiments & Sauces)
# ============================================================================
salsatomate	salsa tomate
concentradotomate	concentrado tomate
salsasoja	salsa soja
salsapicante	salsa picante
salsabarbacoa	salsa barbacoa
aceitedoliva	aceite de oliva
aceitedesésamo	aceite de sésamo
aceitedecoco	aceite de coco
aceitegirasol	aceite girasol
vinagrebalsamico	vinagre balsámico
vinagrevino	vinagre vino
vinagremanzana	vinagre manzana
pimientanegra	pimienta negra
pimientablanca	pimienta blanca
salmarino	sal marino
ajoenpolvo	ajo en polvo
cebollaenpolvo	cebolla en polvo
# ============================================================================
# BEBIDAS (Beverages)
# ============================================================================
téverde	té verde
ténegro	té negro
infusión	infu sión
zumodnaranja	zumo de naranja
zumodemanzana	zumo de manzana
zumodtomate	zumo de tomate
aguadeecoco	agua de coco
aguacongás	agua con gas
limonada	limo nada
# ============================================================================
# COCINA (Kitchen & Cooking)
# ============================================================================
sartén	sar tén
cacerola	cace rola
bandejahorno	bandeja horno
moldepastel	molde pastel
ollaexprés	olla exprés
arrocera	arro cera
cucharasopera	cuchara sopera
cucharita	cucha rita
tabladcortar	tabla de cortar
rodillo	ro dillo
papelaluminio	papel aluminio
papelvegetal	papel vegetal
lavavajillas	lava vajillas
# ============================================================================
# COMIDAS (Meals)
# ============================================================================
desayuno	des ayuno
almuerzo	al muerzo
cena	ce na
merienda	mer ienda
platoeprincipal	plato principal
guarnición	guar nición
entrante	entr ante
sobras	so bras
comidaparallevar	comida para llevar
# ============================================================================
# DIETA (Dietary)
# ============================================================================
bajoengrasas	bajo en grasas
bajocalorías	bajo en calorías
altoenproteínas	alto en proteínas
singluten	sin gluten
sinlactosa	sin lactosa
sinzúcar	sin azúcar
basevegetal	base vegetal
hechoencasa	hecho en casa
ecológico	eco lógico
# ============================================================================
# TERMINOS CULINARIOS (Cooking Terms)
# ============================================================================
librorecetas	libro recetas
levaduraenpolvo	levadura en polvo
bicarbonatodesodio	bicarbonato de sodio
harinaintegral	harina integral
harinaarroz	harina arroz
harinaalmendras	harina almendras
azúcarglas	azúcar glas
azúcarmoreno	azúcar moreno
jarabe de arce	jarabe de arce
pastilladecaldo	pastilla de caldo
