# Italian (IT) compound words
# Format: compound<TAB>parts
# ============================================================================
# CARNE & PROTEINE (Meat & Protein)
# ============================================================================
carnemacinata	carne macinata
polpetta	pol petta
polpettone	pol pettone
pettodpollo	petto di pollo
cosciadpollo	coscia di pollo
aladpollo	ala di pollo
filettodmanzo	filetto di manzo
braciola	braci ola
costoletta	costo letta
salsiccia	sal siccia
bastoncino di pesce	bastoncino di pesce
filetto di pesce	filetto di pesce
fruttidmare	frutti di mare
# ============================================================================
# LATTICINI (Dairy)
# ============================================================================
latticello	latti cello
formaggio fresco	formaggio fresco
formaggio di capra	formaggio di capra
mascarpone	mascar pone
mozzarella	mozza rella
parmigiano	parmi giano
ricotta	ri cotta
gorgonzola	gorgon zola
provola	pro vola
scamorza	sca morza
latte intero	latte intero
latte scremato	latte scremato
latte di avena	latte di avena
latte di soia	latte di soia
latte di mandorla	latte di mandorla
latte di cocco	latte di cocco
latte di riso	latte di riso
gelato	ge lato
milkshake	milk shake
# ============================================================================
# FRUTTA (Fruit)
# ============================================================================
pompelmo	pom pelmo
anguria	an guria
fragola	fra gola
mirtillo	mir tillo
lampone	lam pone
ribes	ri bes
melograno	melo grano
fruttodella passione	frutto della passione
fruttoddrago	frutto del drago
cocco	coc co
noce	no ce
nocciola	nocci ola
castagna	cas tagna
arachide	ara chide
mandorla	man dorla
# ============================================================================
# VERDURE (Vegetables)
# ============================================================================
cavolfiore	cavol fiore
cavolorosso	cavolo rosso
cavoloverza	cavolo verza
broccoletti	broccol etti
carciofo	carci ofo
melanzana	melan zana
peperone	pepe rone
peperoncino	peperon cino
patata dolce	patata dolce
cipollotto	cipoll otto
cipolla rossa	cipolla rossa
fagiolino	fagiol ino
fagiolo nero	fagiolo nero
cece	ce ce
pomodoro	pomo doro
pomodorino	pomodor ino
pomodoro secco	pomodoro secco
fungo	fun go
# ============================================================================
# PANE & DOLCI (Bread & Sweets)
# ============================================================================
pane integrale	pane integrale
pane bianco	pane bianco
pancarré	pan carré
pangrattato	pan grattato
focaccia	foc accia
ciabatta	cia batta
grissino	gris sino
cornetto	cor netto
cheesecake	cheese cake
tiramisù	tira misù
pannacotta	panna cotta
semifreddo	semi freddo
# ============================================================================
# CONDIMENTI & SALSE (Condiments & Sauces)
# ============================================================================
salsa di pomodoro	salsa di pomodoro
passata di pomodoro	passata di pomodoro
concentrato di pomodoro	concentrato di pomodoro
salsa di soia	salsa di soia
olio d oliva	olio d oliva
olio di sesamo	olio di sesamo
olio di cocco	olio di cocco
olio di semi	olio di semi
aceto balsamico	aceto balsamico
aceto di vino	aceto di vino
pepe nero	pepe nero
pepe bianco	pepe bianco
sale marino	sale marino
aglio in polvere	aglio in polvere
# ============================================================================
# BEVANDE (Beverages)
# ============================================================================
tè verde	tè verde
tè nero	tè nero
tisana	ti sana
succo d arancia	succo d arancia
succo di mela	succo di mela
succo di pomodoro	succo di pomodoro
acqua frizzante	acqua frizzante
acqua di cocco	acqua di cocco
# ============================================================================
# CUCINA (Kitchen & Cooking)
# ============================================================================
pentola a pressione	pentola a pressione
padella antiaderente	padella antiaderente
teglia da forno	teglia da forno
cucchiaio da tavola	cucchiaio da tavola
cucchiaino	cucchia ino
tagliere	tagli ere
mattarello	matta rello
carta alluminio	carta alluminio
carta forno	carta forno
lavastoviglie	lava stoviglie
# ============================================================================
# PASTI (Meals)
# ============================================================================
colazione	cola zione
pranzo	pran zo
cena	ce na
merenda	me renda
piatto principale	piatto principale
contorno	con torno
antipasto	anti pasto
# ============================================================================
# DIETA (Dietary)
# ============================================================================
senza glutine	senza glutine
senza lattosio	senza lattosio
senza zucchero	senza zucchero
basso contenuto di grassi	basso contenuto di grassi
ricco di proteine	ricco di proteine
a base vegetale	a base vegetale
fatto in casa	fatto in casa
biologico	bio logico
# ============================================================================
# TERMINI CULINARI (Cooking Terms)
# ============================================================================
libro di cucina	libro di cucina
lievito in polvere	lievito in polvere
bicarbonato di sodio	bicarbonato di sodio
farina integrale	farina integrale
farina di riso	farina di riso
farina di cocco	farina di cocco
farina di mandorle	farina di mandorle
zucchero a velo	zucchero a velo
zucchero di canna	zucchero di canna
sciroppo d acero	sciroppo d acero
dado da brodo	dado da brodo
