# Dutch (NL) compound words
# Format: compound<TAB>parts
# ============================================================================
# VLEES & EIWIT (Meat & Protein)
# ============================================================================
rundvlees	rund vlees
varkensvlees	varkens vlees
kipfilet	kip filet
kippenborst	kippen borst
kippenpoot	kippen poot
kippenvleugel	kippen vleugel
lamsvlees	lams vlees
kalfsvlees	kalfs vlees
gehakt	ge hakt
rundergehakt	runder gehakt
varkensgehakt	varkens gehakt
kipgehakt	kip gehakt
braadworst	braad worst
rookworst	rook worst
leverworst	lever worst
visstick	vis stick
visfilet	vis filet
vissoep	vis soep
zeevruchten	zee vruchten
garnalen	gar nalen
# ============================================================================
# ZUIVEL (Dairy)
# ============================================================================
karnemelk	karne melk
roomkaas	room kaas
huettenkaas	huetten kaas
geitenkaas	geiten kaas
schapenkaas	schapen kaas
smeerkaas	smeer kaas
kaastaart	kaas taart
milkshake	milk shake
volle melk	volle melk
mageremelk	magere melk
havermelk	haver melk
sojamelk	soja melk
amandelmelk	amandel melk
kokosmelk	kokos melk
rijstmelk	rijst melk
roomijs	room ijs
vanilleijs	vanille ijs
chocoladeijs	chocolade ijs
# ============================================================================
# GROENTEN (Vegetables)
# ============================================================================
aardappel	aard appel
aardappelpuree	aardappel puree
aardappelsoep	aardappel soep
aardappelsalade	aardappel salade
zoeteaardappel	zoete aardappel
bloemkool	bloem kool
spruitjes	spruit jes
rodekool	rode kool
wittekool	witte kool
boerenkool	boeren kool
zuurkool	zuur kool
snijbonen	snij bonen
sperziebonen	sperzie bonen
kidneybonen	kidney bonen
zwartebonen	zwarte bonen
kikkererwten	kikker erwten
paprika	pa prika
tomaat	to maat
komkommer	kom kommer
champignon	champi gnon
bosui	bos ui
lente-ui	lente ui
knoflook	knof look
# ============================================================================
# FRUIT & NOTEN (Fruit & Nuts)
# ============================================================================
aardbei	aard bei
bosbes	bos bes
braambes	braam bes
framboos	fram boos
kruisbes	kruis bes
watermeloen	water meloen
grapefruit	grape fruit
passievrucht	passie vrucht
drakenvrucht	draken vrucht
kokosnoot	kokos noot
walnoot	wal noot
hazelnoot	hazel noot
cashewnoot	cashew noot
pinda	pin da
pindakaas	pinda kaas
amandelpasta	amandel pasta
zonnebloempit	zonnebloem pit
pompoenpit	pompoen pit
lijnzaad	lijn zaad
sesamzaad	sesam zaad
chiazaad	chia zaad
# ============================================================================
# BROOD & GEBAK (Bread & Baked Goods)
# ============================================================================
volkorenbrood	volkoren brood
roggebrood	rogge brood
witbrood	wit brood
krentenbrood	krenten brood
paneermeel	paneer meel
pannenkock	pannen koek
appeltaart	appel taart
chocoladetaart	chocolade taart
stroopwafel	stroop wafel
koekjesdoos	koekjes doos
# ============================================================================
# SAUZEN & KRUIDEN (Sauces & Spices)
# ============================================================================
tomatensaus	tomaten saus
tomatenpuree	tomaten puree
sojasaus	soja saus
vissaus	vis saus
olijfolie	olijf olie
sesamolie	sesam olie
kokosolie	kokos olie
zonnebloemolie	zonnebloem olie
koolzaadolie	koolzaad olie
balsamicoazijn	balsamico azijn
wijnazijn	wijn azijn
appelazijn	appel azijn
zeezout	zee zout
steenzout	steen zout
knoflookpoeder	knoflook poeder
uienpoeder	uien poeder
peperkorn	peper korn
zwartepeper	zwarte peper
wittepeper	witte peper
# ============================================================================
# DRANKEN (Beverages)
# ============================================================================
groenetee	groene tee
zwartetee	zwarte tee
kruidenthee	kruiden thee
ijsthee	ijs thee
sinaasappelsap	sinaasappel sap
appelsap	appel sap
tomatensap	tomaten sap
druivensap	druiven sap
kokoswater	kokos water
bruiswater	bruis water
bronwater	bron water
gemberbier	gember bier
# ============================================================================
# KOOKMETHODEN (Cooking Methods)
# ============================================================================
roerbakken	roer bakken
frituren	fri turen
stomen	sto men
voorverwarmen	voor verwarmen
opwarmen	op warmen
ontdooien	ont dooien
# ============================================================================
# KEUKEN (Kitchen)
# ============================================================================
steelpan	steel pan
koekenpan	koeken pan
bakplaat	bak plaat
taartvorm	taart vorm
vaatwasmachine	vaatwas machine
rijstkoker	rijst koker
snelkookpan	snel kookpan
theelepel	thee lepel
eetlepel	eet lepel
broodmes	brood mes
snijplank	snij plank
deegroller	deeg roller
aluminiumfolie	aluminium folie
# ============================================================================
# MAALTIJDEN (Meals)
# ============================================================================
ontbijt	ont bijt
middageten	middag eten
avondeten	avond eten
lunchpakket	lunch pakket
maaltijdbox	maaltijd box
kliekjes	kliek jes
afhaalmaaltijd	afhaal maaltijd
doordeweeks	door de weeks
# ============================================================================
# DIEET (Dietary)
# ============================================================================
vetarm	vet arm
caloriearm	calorie arm
eiwitrijk	eiwit rijk
suikervrij	suiker vrij
glutenvrij	gluten vrij
lactosevrij	lactose vrij
zuivelvrij	zuivel vrij
notenvrij	noten vrij
plantaardig	plant aardig
volkoorn	vol koorn
biologisch	bio logisch
huisgemaakt	huis gemaakt
# ============================================================================
# CULINAIRE TERMEN (Cooking Terms)
# ============================================================================
kookboek	kook boek
bijgerecht	bij gerecht
hoofdgerecht	hoofd gerecht
voorgerecht	voor gerecht
nagerecht	na gerecht
tomatenketchup	tomaten ketchup
bakpoeder	bak poeder
bakingsoda	baking soda
rijstmeel	rijst meel
kokosmeel	kokos meel
amandelmeel	amandel meel
poedersuiker	poeder suiker
bruinesuiker	bruine suiker
ahornsiroop	ahorn siroop
bouillonblokje	bouillon blokje
