# Swedish (SE) compound words
# Format: compound<TAB>parts
# ============================================================================
# KÖTT & PROTEIN (Meat & Protein)
# ============================================================================
nötfärs	nöt färs
fläskfärs	fläsk färs
kycklingbröst	kyckling bröst
kycklinglår	kyckling lår
kycklingvinge	kyckling vinge
lammkött	lamm kött
kalvkött	kalv kött
köttbulle	kött bulle
köttfärs	kött färs
fiskpinne	fisk pinne
fiskfilé	fisk filé
skaldjur	skal djur
# ============================================================================
# MEJERI (Dairy)
# ============================================================================
kärnmjölk	kärn mjölk
färskost	färsk ost
getost	get ost
smältost	smält ost
ostkaka	ost kaka
mjölkshake	mjölk shake
helmjölk	hel mjölk
lättmjölk	lätt mjölk
havremjölk	havre mjölk
sojamjölk	soja mjölk
mandelmjölk	mandel mjölk
kokosmjölk	kokos mjölk
rismjölk	ris mjölk
glass	gla ss
vaniljglass	vanilj glass
chokladglass	choklad glass
jordgubbsglass	jordgubbs glass
# ============================================================================
# GRÖNSAKER (Vegetables)
# ============================================================================
blomkål	blom kål
brysselkål	bryssel kål
rödkål	röd kål
vitkål	vit kål
grönkål	grön kål
surkål	sur kål
potatis	pota tis
potatismos	potatis mos
potatissoppa	potatis soppa
potatissallad	potatis sallad
sötpotatis	söt potatis
kidneybönor	kidney bönor
svartabönor	svarta bönor
kikärtor	kik ärtor
champinjon	champi njon
salladslök	sallads lök
vitlök	vit lök
# ============================================================================
# FRUKT & NÖTTER (Fruit & Nuts)
# ============================================================================
jordgubbe	jord gubbe
blåbär	blå bär
hallon	hal lon
björnbär	björn bär
lingon	lin gon
krusbär	krus bär
vattenmelon	vatten melon
passionsfrukt	passions frukt
drakfrukt	drak frukt
kokosnöt	kokos nöt
valnöt	val nöt
hasselnöt	hassel nöt
jordnöt	jord nöt
jordnötssmör	jordnöts smör
mandelsmör	mandel smör
solrosfrö	solros frö
pumpafrö	pumpa frö
linfrö	lin frö
sesamfrö	sesam frö
chiafrö	chia frö
# ============================================================================
# BRÖD & BAKVERK (Bread & Baked Goods)
# ============================================================================
fullkornsbröd	fullkorns bröd
rågbröd	råg bröd
vitbröd	vit bröd
knäckebröd	knäcke bröd
ströbröd	strö bröd
pannkaka	pann kaka
äppelkaka	äppel kaka
chokladkaka	choklad kaka
sockerkaka	socker kaka
kanelbulle	kanel bulle
# ============================================================================
# KRYDDOR & SÅSER (Spices & Sauces)
# ============================================================================
tomatsås	tomat sås
tomatpuré	tomat puré
sojasås	soja sås
fisksås	fisk sås
olivolja	oliv olja
sesamolja	sesam olja
kokosolja	kokos olja
solrosolja	solros olja
rapsolja	raps olja
balsamvinäger	balsam vinäger
vinvinäger	vin vinäger
äppelvinäger	äppel vinäger
havssalt	havs salt
svartpeppar	svart peppar
vitpeppar	vit peppar
vitlökspulver	vitlöks pulver
lökpulver	lök pulver
# ============================================================================
# DRYCKER (Beverages)
# ============================================================================
gröntee	grön te
svartte	svart te
örtte	ört te
iste	is te
apelsinjuice	apelsin juice
äppeljuice	äppel juice
tomatjuice	tomat juice
kokosvatten	kokos vatten
kolsyratvatten	kolsyrat vatten
källvatten	käll vatten
ingefärsöl	ingefärs öl
# ============================================================================
# MATLAGNING (Cooking)
# ============================================================================
wokning	wok ning
fritering	friter ing
ångkokning	ång kokning
förvärmning	för värmning
uppvärmning	upp värmning
upptining	upp tining
# ============================================================================
# KÖK (Kitchen)
# ============================================================================
kastrull	kas trull
stekpanna	stek panna
bakplåt	bak plåt
tårtform	tårt form
diskmaskin	disk maskin
riskokar	ris kokar
tryckkokare	tryck kokare
tesked	te sked
matsked	mat sked
brödkniv	bröd kniv
skärbräda	skär bräda
kavel	ka vel
aluminiumfolie	aluminium folie
gladpack	glad pack
# ============================================================================
# MÅLTIDER (Meals)
# ============================================================================
frukost	fru kost
lunch	lun ch
middag	mid dag
mellanmål	mellan mål
huvudrätt	huvud rätt
förrätt	för rätt
efterrätt	efter rätt
matlåda	mat låda
# ============================================================================
# KOST (Dietary)
# ============================================================================
fettsnål	fett snål
kalorisnål	kalori snål
proteinrik	protein rik
sockerfri	socker fri
glutenfri	gluten fri
laktosfri	laktos fri
mjölkfri	mjölk fri
nötfri	nöt fri
växtbaserad	växt baserad
fullkorn	full korn
ekologisk	eko logisk
hemlagad	hem lagad
# ============================================================================
# MATLAGNINGSTERMER (Cooking Terms)
# ============================================================================
kokbok	kok bok
tillbehör	till behör
tomatoketchup	tomato ketchup
bakpulver	bak pulver
bikarbonat	bi karbonat
rismjöl	ris mjöl
kokosmjöl	kokos mjöl
mandelmjöl	mandel mjöl
florsocker	flor socker
råsocker	rå socker
lönnsirap	lönn sirap
buljongtärning	buljong tärning
